id,title,department,required_skills,experience_level,min_experience_years
299,"Mobile Developer","Product","{PostgreSQL,AWS,Redis,Vue.js}",Mid,3
300,"Full Stack Engineer","Developer","{Go,TensorFlow,Next.js}",Junior,1
301,"Mobile Developer","Data & AI","{Next.js,Blender,Node.js}",Senior,6
302,"DevOps Specialist","Infrastructure","{Next.js,TensorFlow,Terraform,After Effects,Data Bricks,PostgreSQL}",Mid,2
303,"Mobile Developer","Marketing","{Figma,Pandas,Photoshop,TypeScript}",Lead,8
304,"Data Scientist","Infrastructure","{Pandas,GSAP,TypeScript}",Lead,8
305,"Full Stack Engineer","Marketing","{Affinity,TypeScript,Pandas}",Senior,6
306,"Game Developer","Marketing","{Python,React,GSAP}",Mid,2
307,"Backend Developer","Infrastructure","{GSAP,Framer,Blender}",Mid,2
308,"Tester","Infrastructure","{After Effects,React,Kubernetes,Redis}",Lead,11
309,"UI/UX Designer","Developer","{TensorFlow,Docker,Kubernetes,Go,Terraform,AWS}",Lead,9
310,"UI/UX Designer","Developer","{Next.js,React,Blender}",Lead,9
311,"AI & ML Engineer","Product","{Terraform,AWS,PostgreSQL}",Senior,7
312,"Game Developer","Marketing","{Vue.js,TypeScript,Python,PostgreSQL}",Lead,11
313,"Game Developer","Design","{AWS,React,Blender,Kubernetes,Photoshop,Terraform}",Junior,1
314,"Full Stack Engineer","Infrastructure","{Sass,React,Vue.js,Framer,Next.js}",Senior,7
315,"Tester","Product","{GraphQL,Kubernetes,TensorFlow}",Senior,7
316,"Frontend Engineer","Data & AI","{GraphQL,Framer,Photoshop,Kubernetes,Terraform}",Lead,10
317,"AI & ML Engineer","Developer","{Affinity,Vue.js,Python}",Lead,9
318,"AI & ML Engineer","Design","{TensorFlow,Affinity,Next.js,After Effects}",Lead,10
319,"DevOps Specialist","Design","{GSAP,AWS,After Effects,Blender,Redis,Docker}",Lead,10
320,"Backend Developer","Marketing","{Redis,Pandas,Next.js,AWS,Kubernetes,Sass}",Junior,1
321,"DevOps Specialist","Developer","{Figma,Docker,Sass,Python,TypeScript,Terraform}",Senior,5
322,"Tester","Engineering","{Next.js,Affinity,React}",Junior,1
323,"UI/UX Designer","Infrastructure","{TypeScript,Blender,Data Bricks,Docker}",Senior,7
324,"Tester","Product","{Vue.js,GSAP,Blender,Kubernetes}",Senior,7
325,"Full Stack Engineer","Developer","{Go,TypeScript,Pandas,Framer,Python,Redis}",Junior,1
326,"Backend Developer","Data & AI","{Blender,Redis,Photoshop}",Mid,4
327,"AI & ML Engineer","Engineering","{Docker,Tailwind CSS,Sass}",Mid,2
328,"Data Scientist","Engineering","{Redis,Terraform,React,GraphQL,TensorFlow,Figma}",Junior,1
329,"Frontend Engineer","Engineering","{Pandas,PostgreSQL,Data Bricks,TypeScript,React}",Senior,6
330,"Backend Developer","Marketing","{AWS,Figma,Affinity,Python,Redis,Tailwind CSS}",Mid,3
331,"Data Scientist","Product","{Node.js,Affinity,Go}",Mid,4
332,"DevOps Specialist","Marketing","{Node.js,React,After Effects,Terraform,AWS}",Junior,0
333,"Tester","Engineering","{Go,Affinity,After Effects,React,Python}",Lead,9
334,"AI & ML Engineer","Data & AI","{TypeScript,Redis,GSAP,TensorFlow}",Senior,5
335,"Mobile Developer","Engineering","{React,TypeScript,Blender,Terraform,Framer}",Mid,3
336,"Backend Developer","Design","{Node.js,Tailwind CSS,GSAP,Pandas}",Junior,0
337,"Tester","Infrastructure","{Python,Kubernetes,Affinity,Next.js,TypeScript}",Junior,0
338,"DevOps Specialist","Product","{Data Bricks,Docker,Sass,Redis,GraphQL}",Lead,10
339,"Data Scientist","Developer","{Python,GSAP,Affinity,After Effects}",Mid,4
340,"UI/UX Designer","Data & AI","{Docker,Kubernetes,Framer,Vue.js}",Senior,5
341,"Mobile Developer","Marketing","{Node.js,Tailwind CSS,Blender}",Mid,2
342,"Mobile Developer","Design","{Python,Node.js,Docker}",Lead,9
343,"Backend Developer","Product","{Redis,TensorFlow,TypeScript,Figma,Blender,Node.js}",Senior,7
344,"Game Developer","Design","{Python,Node.js,Next.js}",Lead,11
345,"Game Developer","Infrastructure","{Pandas,React,Figma,Vue.js,Terraform,Photoshop}",Mid,2
346,"Mobile Developer","Product","{Affinity,GSAP,Photoshop,Node.js,Redis,Kubernetes}",Junior,1
347,"Backend Developer","Marketing","{Figma,GraphQL,Go}",Junior,0
348,"UI/UX Designer","Data & AI","{AWS,Tailwind CSS,Python,GraphQL,Pandas}",Lead,8
349,"Mobile Developer","Infrastructure","{GraphQL,Docker,Figma,React,Pandas,Data Bricks}",Junior,1
350,"Full Stack Engineer","Product","{Photoshop,Node.js,Affinity,Framer,Python}",Lead,8
351,"UI/UX Designer","Data & AI","{Figma,GSAP,Kubernetes}",Lead,8
352,"AI & ML Engineer","Data & AI","{Docker,Framer,Photoshop,TensorFlow}",Senior,5
353,"UI/UX Designer","Product","{Pandas,Kubernetes,Blender,Vue.js,Figma}",Lead,8
354,"Tester","Engineering","{Sass,TensorFlow,Terraform}",Junior,1
355,"Tester","Infrastructure","{Photoshop,Kubernetes,Docker}",Senior,5
356,"Tester","Engineering","{Python,React,Data Bricks,Framer,Kubernetes}",Junior,1
357,"Game Developer","Engineering","{Figma,Kubernetes,TypeScript,Tailwind CSS,GraphQL}",Lead,9
358,"Backend Developer","Marketing","{Redis,Go,TypeScript,Python,After Effects,Terraform}",Junior,0
359,"Frontend Engineer","Marketing","{TensorFlow,Next.js,Data Bricks,Vue.js,Affinity,Kubernetes}",Junior,0
360,"Game Developer","Infrastructure","{Node.js,Kubernetes,TypeScript}",Lead,8
361,"Full Stack Engineer","Marketing","{Figma,AWS,GSAP,Docker}",Mid,3
362,"Full Stack Engineer","Engineering","{Blender,Redis,TensorFlow,React,Vue.js}",Mid,3
363,"Frontend Engineer","Design","{After Effects,React,Python,TypeScript,AWS}",Junior,1
364,"Mobile Developer","Design","{Pandas,Next.js,Affinity}",Lead,11
365,"Data Scientist","Engineering","{Go,React,Next.js,Data Bricks,Terraform,Docker}",Lead,9
366,"Mobile Developer","Product","{React,Redis,Terraform,Data Bricks,TypeScript}",Mid,2
367,"DevOps Specialist","Developer","{PostgreSQL,Terraform,Framer}",Junior,1
368,"Mobile Developer","Marketing","{Docker,Node.js,Vue.js}",Mid,2
369,"Mobile Developer","Data & AI","{Next.js,Tailwind CSS,React,Vue.js}",Senior,5
370,"Site Reliability Engineer","Marketing","{TensorFlow,AWS,Photoshop,Figma,GSAP,Python}",Mid,3
371,"Data Scientist","Design","{Terraform,Node.js,GraphQL,Python,Go,Sass}",Senior,5
372,"Full Stack Engineer","Engineering","{Pandas,Python,Affinity,Node.js}",Junior,1
373,"Frontend Engineer","Infrastructure","{Docker,Node.js,GSAP,Go,PostgreSQL,TypeScript}",Senior,5
374,"Full Stack Engineer","Data & AI","{React,Docker,Blender,GraphQL,Terraform,Python}",Lead,9
375,"Game Developer","Infrastructure","{Blender,Terraform,Redis}",Senior,7
376,"Frontend Engineer","Developer","{Vue.js,TypeScript,Python}",Lead,8
377,"DevOps Specialist","Developer","{Kubernetes,Python,TensorFlow}",Junior,0
378,"DevOps Specialist","Data & AI","{Pandas,TensorFlow,Next.js,AWS}",Junior,0
379,"Mobile Developer","Data & AI","{Data Bricks,React,Python,Framer,Docker}",Lead,8
380,"AI & ML Engineer","Engineering","{Terraform,React,Blender,Redis}",Mid,3
381,"Frontend Engineer","Data & AI","{Kubernetes,Docker,GraphQL}",Junior,1
382,"AI & ML Engineer","Product","{React,Next.js,Sass,Data Bricks,Photoshop}",Lead,10
383,"AI & ML Engineer","Engineering","{Redis,Kubernetes,Sass,Vue.js}",Junior,0
384,"Game Developer","Developer","{AWS,After Effects,React}",Senior,6
385,"DevOps Specialist","Developer","{Kubernetes,Affinity,Vue.js,Photoshop}",Junior,0
386,"Site Reliability Engineer","Design","{Go,GSAP,Pandas}",Mid,4
387,"Frontend Engineer","Infrastructure","{AWS,GraphQL,React,Kubernetes,Vue.js}",Lead,10
388,"Data Scientist","Developer","{React,Docker,GraphQL,AWS,Sass,Go}",Mid,3
389,"Full Stack Engineer","Developer","{Terraform,PostgreSQL,Framer,TypeScript}",Mid,4
390,"UI/UX Designer","Design","{Python,Framer,GraphQL,Affinity,Vue.js}",Lead,8
391,"UI/UX Designer","Marketing","{Pandas,TensorFlow,Docker,Redis}",Lead,9
392,"Game Developer","Marketing","{Docker,Python,React,Photoshop}",Mid,3
393,"Game Developer","Design","{After Effects,Node.js,Go,Sass,Kubernetes}",Lead,10
394,"Site Reliability Engineer","Engineering","{Docker,TypeScript,Figma}",Lead,9
395,"UI/UX Designer","Data & AI","{Kubernetes,Blender,Data Bricks}",Senior,5
396,"Data Scientist","Data & AI","{AWS,Affinity,Redis,React}",Lead,11
397,"AI & ML Engineer","Design","{Docker,Pandas,Affinity,Vue.js,TypeScript}",Senior,7
398,"Game Developer","Data & AI","{GraphQL,After Effects,Photoshop,PostgreSQL,Figma,Redis}",Lead,9
399,"Game Developer","Marketing","{Vue.js,Blender,Affinity,Data Bricks,TypeScript}",Junior,0
400,"Full Stack Engineer","Marketing","{Affinity,Kubernetes,Photoshop,Framer,GraphQL}",Lead,8
401,"Data Scientist","Design","{Pandas,Python,Framer,Figma}",Junior,1
402,"Frontend Engineer","Marketing","{Go,GraphQL,React,Terraform}",Senior,7
403,"Backend Developer","Engineering","{Next.js,Python,AWS,React,Terraform,Docker}",Lead,9
404,"Full Stack Engineer","Marketing","{TypeScript,Pandas,PostgreSQL,Vue.js,Node.js,Blender}",Junior,1
405,"UI/UX Designer","Developer","{Python,AWS,GraphQL,Blender}",Mid,3
406,"Game Developer","Data & AI","{Redis,React,Go,Pandas,Docker,Data Bricks}",Junior,0
407,"DevOps Specialist","Developer","{GraphQL,Sass,Next.js,Pandas}",Lead,10
408,"Backend Developer","Developer","{Docker,TypeScript,After Effects,Go}",Mid,4
409,"Tester","Product","{Photoshop,React,Docker,Framer,Tailwind CSS,Affinity}",Junior,0
410,"Site Reliability Engineer","Infrastructure","{Framer,TensorFlow,After Effects}",Mid,2
411,"Backend Developer","Developer","{Blender,Tailwind CSS,React,Next.js}",Mid,3
412,"Tester","Marketing","{Photoshop,Vue.js,Next.js,TypeScript}",Lead,11
413,"Backend Developer","Design","{Python,Terraform,Node.js,Kubernetes}",Junior,1
414,"Mobile Developer","Product","{Next.js,Framer,React}",Lead,11
415,"Data Scientist","Infrastructure","{React,Terraform,Redis}",Senior,6
416,"Data Scientist","Developer","{Blender,Framer,AWS,Photoshop}",Mid,2
417,"Backend Developer","Marketing","{Data Bricks,Docker,React,Tailwind CSS,Figma}",Mid,4
418,"AI & ML Engineer","Infrastructure","{Pandas,Next.js,AWS}",Lead,11
419,"Mobile Developer","Marketing","{Pandas,GraphQL,Python,GSAP,Redis}",Lead,10
420,"Data Scientist","Marketing","{TensorFlow,GraphQL,React,After Effects}",Senior,6
421,"Site Reliability Engineer","Design","{Data Bricks,Pandas,Affinity,Node.js,Sass,Go}",Lead,11
422,"AI & ML Engineer","Marketing","{Python,Next.js,Pandas,Redis,After Effects}",Senior,5
423,"DevOps Specialist","Product","{GraphQL,React,Go,TypeScript,Redis}",Mid,2
424,"Data Scientist","Design","{Python,Pandas,GraphQL,Framer,TensorFlow}",Mid,3
425,"UI/UX Designer","Product","{GSAP,After Effects,Kubernetes}",Senior,6
426,"Game Developer","Data & AI","{React,Blender,Next.js}",Senior,7
427,"Data Scientist","Design","{GraphQL,TypeScript,Photoshop,Vue.js,React,Blender}",Senior,6
428,"Tester","Infrastructure","{TensorFlow,Figma,Docker,Kubernetes,Redis}",Mid,2
429,"Frontend Engineer","Marketing","{Affinity,Kubernetes,Python}",Senior,7
430,"AI & ML Engineer","Developer","{After Effects,Vue.js,GSAP}",Mid,4
431,"Full Stack Engineer","Product","{GraphQL,React,PostgreSQL,Sass,Kubernetes}",Senior,7
432,"AI & ML Engineer","Marketing","{Go,Redis,Python}",Lead,11
433,"Mobile Developer","Marketing","{Python,AWS,Figma,Sass}",Senior,7
434,"AI & ML Engineer","Design","{GraphQL,Tailwind CSS,Node.js,Terraform,Next.js}",Senior,6
435,"DevOps Specialist","Developer","{Photoshop,Sass,React,Next.js,Node.js,Tailwind CSS}",Senior,7
436,"Mobile Developer","Infrastructure","{React,Blender,GraphQL,TypeScript}",Lead,9
437,"Data Scientist","Engineering","{GSAP,Tailwind CSS,Vue.js}",Mid,3
438,"Frontend Engineer","Marketing","{After Effects,Docker,Python,AWS}",Junior,1
439,"UI/UX Designer","Developer","{PostgreSQL,Redis,Node.js,Blender,Go}",Senior,6
440,"Backend Developer","Data & AI","{GraphQL,React,Next.js,Vue.js,Tailwind CSS}",Mid,3
441,"AI & ML Engineer","Engineering","{Figma,Pandas,Python,Node.js}",Lead,11
442,"Backend Developer","Engineering","{Vue.js,After Effects,React,Tailwind CSS,Figma}",Senior,7
443,"UI/UX Designer","Engineering","{AWS,Vue.js,Redis,Figma,GSAP}",Mid,2
444,"Frontend Engineer","Marketing","{After Effects,Framer,TensorFlow,Terraform,Vue.js,React}",Junior,0
445,"UI/UX Designer","Developer","{Affinity,Figma,Docker,React,Tailwind CSS}",Lead,9
446,"Data Scientist","Product","{Figma,Tailwind CSS,GraphQL,AWS,Next.js,PostgreSQL}",Senior,5
447,"Mobile Developer","Engineering","{React,Tailwind CSS,Blender,TensorFlow,Affinity,GraphQL}",Lead,8
448,"Site Reliability Engineer","Marketing","{Vue.js,Redis,GraphQL}",Lead,8
449,"Frontend Engineer","Infrastructure","{Vue.js,Node.js,Redis,React,Go,Tailwind CSS}",Senior,5
450,"AI & ML Engineer","Engineering","{React,Terraform,After Effects,Python}",Junior,1
451,"Backend Developer","Design","{Go,TypeScript,Figma}",Mid,2
452,"Full Stack Engineer","Marketing","{Pandas,After Effects,Python,TensorFlow}",Lead,8
453,"Frontend Engineer","Product","{Redis,Go,Blender,Terraform,AWS}",Mid,4
454,"Mobile Developer","Data & AI","{Blender,After Effects,Tailwind CSS}",Lead,8
455,"Frontend Engineer","Data & AI","{AWS,React,Kubernetes,Redis}",Mid,4
456,"Full Stack Engineer","Product","{PostgreSQL,Data Bricks,Vue.js,Framer}",Junior,0
457,"DevOps Specialist","Developer","{Photoshop,AWS,Vue.js}",Lead,11
458,"Tester","Product","{Docker,Framer,Python,GraphQL}",Lead,10
459,"Game Developer","Design","{Python,Affinity,After Effects,GraphQL,Redis}",Lead,9
460,"Mobile Developer","Engineering","{GraphQL,Next.js,Affinity,Python,Blender,Sass}",Junior,0
461,"Data Scientist","Data & AI","{Kubernetes,Vue.js,TensorFlow}",Senior,7
462,"Tester","Data & AI","{TensorFlow,Python,After Effects,Vue.js,Node.js}",Junior,1
463,"DevOps Specialist","Design","{Tailwind CSS,GraphQL,Vue.js,Affinity,After Effects,Blender}",Lead,10
464,"Frontend Engineer","Design","{Data Bricks,After Effects,Python,Kubernetes,Sass,Go}",Senior,7
465,"Site Reliability Engineer","Data & AI","{Vue.js,Terraform,Blender}",Senior,6
466,"UI/UX Designer","Data & AI","{Figma,Kubernetes,Blender,Sass}",Lead,10
467,"UI/UX Designer","Marketing","{TypeScript,GSAP,AWS,Framer,Redis,Affinity}",Lead,10
468,"Mobile Developer","Marketing","{React,Sass,TypeScript}",Junior,1
469,"Backend Developer","Developer","{Sass,TensorFlow,Python,Framer}",Lead,9
470,"Game Developer","Infrastructure","{GraphQL,Kubernetes,After Effects}",Junior,0
471,"Site Reliability Engineer","Data & AI","{Node.js,React,Terraform,Python,TypeScript}",Lead,10
472,"Site Reliability Engineer","Data & AI","{TypeScript,Tailwind CSS,Photoshop}",Senior,7
473,"Tester","Engineering","{Photoshop,TypeScript,Node.js,GraphQL,PostgreSQL,Tailwind CSS}",Mid,4
474,"DevOps Specialist","Data & AI","{Framer,After Effects,Vue.js,Kubernetes,GSAP}",Senior,5
475,"UI/UX Designer","Marketing","{Next.js,GraphQL,Sass}",Senior,7
476,"DevOps Specialist","Product","{Python,React,Redis,After Effects,Tailwind CSS}",Junior,1
477,"Full Stack Engineer","Developer","{React,Kubernetes,Sass}",Senior,5
478,"AI & ML Engineer","Marketing","{Sass,Terraform,PostgreSQL,Python,Kubernetes}",Senior,7
479,"AI & ML Engineer","Marketing","{Pandas,Go,Data Bricks}",Senior,5
480,"Mobile Developer","Infrastructure","{Blender,Figma,Python,Affinity}",Lead,9
481,"DevOps Specialist","Marketing","{Photoshop,PostgreSQL,React,GraphQL,Go,Affinity}",Mid,2
482,"Game Developer","Engineering","{Affinity,After Effects,Next.js,GraphQL,Python,Sass}",Junior,0
483,"Site Reliability Engineer","Engineering","{PostgreSQL,React,Figma,Docker}",Mid,3
484,"Game Developer","Design","{PostgreSQL,Go,Data Bricks,Vue.js}",Junior,0
485,"AI & ML Engineer","Product","{Tailwind CSS,PostgreSQL,AWS,React,Node.js,Photoshop}",Lead,11
486,"Data Scientist","Data & AI","{Terraform,TensorFlow,Node.js,Vue.js,Framer,Docker}",Mid,3
487,"UI/UX Designer","Developer","{Go,Figma,Terraform,TensorFlow,Redis}",Lead,11
488,"UI/UX Designer","Product","{Framer,Pandas,Python,TypeScript}",Mid,2
489,"Data Scientist","Developer","{React,GraphQL,Next.js,Tailwind CSS,After Effects,Redis}",Lead,10
490,"Game Developer","Product","{Node.js,Python,AWS,Blender}",Senior,6
491,"UI/UX Designer","Data & AI","{PostgreSQL,Kubernetes,Redis,Python,After Effects,Pandas}",Senior,5
492,"Data Scientist","Design","{TensorFlow,React,Python,Photoshop}",Senior,6
493,"Backend Developer","Product","{Docker,PostgreSQL,Affinity,Figma,Framer}",Junior,1
494,"Game Developer","Infrastructure","{Node.js,Kubernetes,Pandas,Vue.js}",Junior,0
495,"Frontend Engineer","Data & AI","{Pandas,Blender,Node.js}",Lead,9
496,"DevOps Specialist","Design","{Pandas,After Effects,Affinity}",Lead,8
497,"Site Reliability Engineer","Design","{Tailwind CSS,React,Blender}",Lead,11
498,"Backend Developer","Infrastructure","{Node.js,Python,Redis,Figma,Kubernetes,Pandas}",Senior,5
499,"UI/UX Designer","Engineering","{Redis,Tailwind CSS,Photoshop,GSAP,Next.js}",Senior,6
500,"Mobile Developer","Product","{PostgreSQL,Next.js,Kubernetes}",Junior,1
501,"Mobile Developer","Developer","{Vue.js,React,Python}",Senior,7
502,"Backend Developer","Design","{React,Data Bricks,Sass,GraphQL,Blender}",Mid,3
503,"Backend Developer","Product","{Photoshop,GSAP,AWS,React}",Mid,2
504,"AI & ML Engineer","Design","{Kubernetes,Figma,PostgreSQL,Docker}",Junior,1
505,"Data Scientist","Engineering","{AWS,TypeScript,TensorFlow,Go}",Junior,1
506,"Game Developer","Design","{Figma,Node.js,Kubernetes,Docker}",Junior,0
507,"Full Stack Engineer","Product","{Pandas,GSAP,Go,AWS,Redis,After Effects}",Senior,6
508,"Mobile Developer","Data & AI","{Redis,React,TypeScript,Pandas}",Mid,2
509,"Site Reliability Engineer","Infrastructure","{Tailwind CSS,GSAP,Sass}",Senior,5
510,"UI/UX Designer","Marketing","{Python,React,Affinity}",Lead,10
511,"UI/UX Designer","Design","{Python,React,Terraform,Go,Blender,AWS}",Lead,9
512,"UI/UX Designer","Data & AI","{Kubernetes,React,Blender,Figma,After Effects}",Mid,3
513,"Backend Developer","Infrastructure","{Vue.js,GSAP,Pandas,Framer,Go,Figma}",Senior,6
514,"Game Developer","Data & AI","{React,Docker,GSAP,Terraform,Next.js}",Mid,4
515,"Tester","Infrastructure","{React,Vue.js,Docker,Terraform,Next.js,Photoshop}",Junior,1
516,"UI/UX Designer","Engineering","{GraphQL,Node.js,TensorFlow}",Junior,0
517,"Mobile Developer","Product","{Docker,TensorFlow,Framer,Node.js,Go,After Effects}",Mid,3
518,"Data Scientist","Product","{Node.js,Vue.js,Go,Kubernetes,Sass}",Senior,5
519,"UI/UX Designer","Marketing","{Vue.js,TensorFlow,Docker,Framer,Tailwind CSS,Next.js}",Lead,8
520,"UI/UX Designer","Marketing","{Go,Kubernetes,TypeScript}",Senior,5
521,"Full Stack Engineer","Marketing","{Affinity,React,Next.js}",Mid,2
522,"Full Stack Engineer","Design","{Affinity,Vue.js,React,Tailwind CSS,Framer}",Lead,10
523,"Game Developer","Infrastructure","{Node.js,Data Bricks,GraphQL,Affinity}",Lead,8
524,"UI/UX Designer","Product","{Python,PostgreSQL,GraphQL}",Mid,3
525,"Mobile Developer","Infrastructure","{Node.js,Affinity,Docker,Data Bricks,Terraform}",Lead,11
526,"DevOps Specialist","Data & AI","{Go,Node.js,Tailwind CSS}",Junior,0
527,"Game Developer","Marketing","{AWS,PostgreSQL,Redis,TensorFlow}",Senior,6
528,"Data Scientist","Engineering","{Node.js,Data Bricks,TypeScript,React}",Lead,11
529,"Data Scientist","Infrastructure","{Node.js,Data Bricks,Vue.js}",Lead,11
530,"Tester","Engineering","{Redis,Python,Pandas,Go,Blender,Framer}",Mid,3
531,"UI/UX Designer","Marketing","{Sass,Python,Affinity,Node.js}",Senior,6
532,"Data Scientist","Data & AI","{Vue.js,GSAP,Photoshop,Node.js,Affinity}",Lead,11
533,"Site Reliability Engineer","Marketing","{GSAP,Figma,GraphQL}",Mid,3
534,"AI & ML Engineer","Design","{Node.js,PostgreSQL,After Effects}",Mid,2
535,"UI/UX Designer","Developer","{AWS,Vue.js,Node.js,Sass,GSAP,Blender}",Junior,0
536,"Mobile Developer","Developer","{Affinity,GraphQL,Python}",Junior,1
537,"Full Stack Engineer","Marketing","{React,Vue.js,Terraform,Pandas,Figma,Docker}",Mid,3
538,"Backend Developer","Developer","{Next.js,Kubernetes,Python,PostgreSQL,AWS}",Junior,0
539,"Mobile Developer","Product","{GraphQL,Python,Blender,Terraform,TensorFlow,Go}",Lead,10
540,"Frontend Engineer","Infrastructure","{Sass,Python,Vue.js,Figma,GraphQL}",Senior,7
541,"Frontend Engineer","Marketing","{Python,Tailwind CSS,React,PostgreSQL,Figma,Photoshop}",Junior,1
542,"Tester","Product","{Blender,Data Bricks,GSAP}",Senior,5
543,"Tester","Marketing","{Vue.js,Framer,TypeScript,PostgreSQL,Pandas}",Mid,3
544,"Game Developer","Developer","{AWS,GraphQL,Sass,Vue.js,Docker,GSAP}",Junior,0
545,"Data Scientist","Design","{Data Bricks,PostgreSQL,Figma,Affinity}",Senior,5
546,"Data Scientist","Product","{React,Vue.js,Sass,Framer}",Senior,7
547,"Tester","Infrastructure","{PostgreSQL,Docker,GSAP,TypeScript}",Senior,5
548,"Data Scientist","Product","{Data Bricks,Affinity,Python,Figma,Pandas}",Mid,3
549,"Game Developer","Infrastructure","{Pandas,PostgreSQL,Data Bricks}",Mid,3
550,"Site Reliability Engineer","Marketing","{TypeScript,Pandas,Vue.js,Data Bricks}",Lead,8
551,"Site Reliability Engineer","Data & AI","{Tailwind CSS,Figma,React,GSAP}",Mid,3
552,"Mobile Developer","Product","{Node.js,Next.js,GraphQL,Data Bricks}",Lead,11
553,"Data Scientist","Product","{Docker,Sass,Blender,Go,Vue.js}",Mid,3
554,"AI & ML Engineer","Product","{TypeScript,PostgreSQL,Figma,Redis}",Mid,2
555,"Backend Developer","Engineering","{Next.js,Vue.js,GraphQL,After Effects,AWS}",Senior,7
556,"Game Developer","Marketing","{After Effects,Sass,Photoshop}",Junior,1
557,"Tester","Marketing","{Python,Pandas,Kubernetes,After Effects,Node.js,Photoshop}",Lead,11
558,"AI & ML Engineer","Infrastructure","{Tailwind CSS,React,Docker,Go}",Mid,2
559,"UI/UX Designer","Design","{TypeScript,Pandas,Framer,Terraform}",Lead,8
560,"Site Reliability Engineer","Design","{React,TypeScript,Vue.js}",Lead,8
561,"Game Developer","Infrastructure","{Vue.js,Figma,TypeScript}",Junior,1
562,"DevOps Specialist","Infrastructure","{Next.js,React,Photoshop,Go}",Junior,1
563,"UI/UX Designer","Engineering","{Terraform,Docker,Affinity,Python,Tailwind CSS,Node.js}",Lead,10
564,"Backend Developer","Developer","{TypeScript,Tailwind CSS,Kubernetes,PostgreSQL}",Lead,9
565,"UI/UX Designer","Design","{Framer,Figma,Kubernetes}",Mid,3
566,"Game Developer","Product","{Kubernetes,TypeScript,Figma,Framer}",Junior,0
567,"DevOps Specialist","Engineering","{Affinity,React,After Effects}",Lead,11
568,"Frontend Engineer","Marketing","{React,PostgreSQL,Figma}",Junior,0
569,"Full Stack Engineer","Design","{Python,React,TypeScript}",Senior,7
570,"Frontend Engineer","Engineering","{PostgreSQL,Figma,Docker,Next.js}",Senior,5
571,"Frontend Engineer","Infrastructure","{Kubernetes,Framer,After Effects}",Lead,9
572,"Frontend Engineer","Developer","{Vue.js,Kubernetes,Photoshop,Framer}",Mid,3
573,"DevOps Specialist","Product","{React,Photoshop,PostgreSQL}",Junior,0
574,"DevOps Specialist","Marketing","{Kubernetes,Node.js,Docker,After Effects,React}",Senior,5
575,"DevOps Specialist","Marketing","{Node.js,Blender,Next.js,Photoshop}",Lead,10
576,"Tester","Product","{After Effects,Photoshop,Affinity,Terraform,GraphQL,Next.js}",Lead,8
577,"Data Scientist","Engineering","{GSAP,Pandas,Redis,Blender}",Junior,0
578,"Game Developer","Product","{GSAP,After Effects,TypeScript,Node.js,Sass}",Senior,6
579,"Full Stack Engineer","Design","{Data Bricks,Vue.js,GraphQL,Terraform}",Lead,10
580,"Mobile Developer","Data & AI","{GraphQL,AWS,React}",Lead,10
581,"Game Developer","Engineering","{Vue.js,Blender,Terraform}",Senior,6
582,"Data Scientist","Product","{GraphQL,Affinity,Figma,Photoshop}",Senior,7
583,"DevOps Specialist","Infrastructure","{Node.js,Docker,Tailwind CSS,Python,AWS,Blender}",Senior,6
584,"UI/UX Designer","Infrastructure","{React,Vue.js,TensorFlow}",Senior,5
585,"Full Stack Engineer","Data & AI","{React,Photoshop,Sass}",Junior,0
586,"AI & ML Engineer","Data & AI","{Python,Figma,After Effects,Go}",Junior,1
587,"AI & ML Engineer","Engineering","{Next.js,GSAP,Node.js,Tailwind CSS,Terraform,Blender}",Lead,9
588,"Game Developer","Data & AI","{Python,Node.js,PostgreSQL,TensorFlow,Sass,Pandas}",Junior,0
589,"Data Scientist","Developer","{Terraform,Python,After Effects,Docker,AWS}",Lead,9
590,"AI & ML Engineer","Infrastructure","{Pandas,TensorFlow,Framer,React,PostgreSQL}",Senior,6
591,"Tester","Engineering","{GSAP,Affinity,Python}",Senior,7
592,"Mobile Developer","Engineering","{React,Figma,Redis,Photoshop}",Lead,11
593,"DevOps Specialist","Data & AI","{Kubernetes,Docker,Framer,Go,GraphQL}",Junior,1
594,"AI & ML Engineer","Design","{Data Bricks,Framer,Kubernetes,Sass}",Mid,4
595,"Mobile Developer","Product","{Figma,Go,Data Bricks,Vue.js}",Senior,7
596,"Site Reliability Engineer","Infrastructure","{PostgreSQL,Pandas,Node.js,Redis,Blender}",Mid,4
597,"Frontend Engineer","Data & AI","{React,Kubernetes,Framer,Next.js,TypeScript}",Lead,9
598,"Data Scientist","Product","{TypeScript,PostgreSQL,Node.js}",Junior,1
599,"Frontend Engineer","Developer","{Python,Node.js,TypeScript}",Junior,1
600,"Game Developer","Engineering","{Figma,React,Framer}",Mid,4
601,"AI & ML Engineer","Product","{After Effects,Photoshop,Data Bricks}",Senior,7
602,"Game Developer","Infrastructure","{Docker,Go,Redis,Terraform,Node.js}",Senior,6
603,"Frontend Engineer","Infrastructure","{Terraform,GraphQL,AWS}",Lead,11
604,"Full Stack Engineer","Engineering","{Docker,Python,Data Bricks,Terraform}",Junior,1
605,"DevOps Specialist","Design","{Tailwind CSS,After Effects,PostgreSQL,Affinity,Data Bricks}",Mid,4
606,"Backend Developer","Data & AI","{Next.js,Terraform,After Effects,Vue.js}",Mid,2
607,"Full Stack Engineer","Marketing","{TypeScript,GSAP,Vue.js}",Lead,9
